구별,소계,인구수,세대당인구,인구당CCTV
강남구,2780,570500.0,2.42,0.48729184925503943
강동구,773,453233.0,2.5,0.17055245315323464
강북구,748,330192.0,2.31,0.22653486456364783
강서구,884,603772.0,2.41,0.14641288433382138
관악구,1496,525515.0,2.0,0.2846731301675499
광진구,707,372164.0,2.25,0.18997001321997828
구로구,1561,447874.0,2.42,0.3485355256165797
금천구,1015,255082.0,2.25,0.39791125990857845
노원구,1265,569384.0,2.57,0.22216992398802915
도봉구,485,348646.0,2.54,0.13910958393327327
동대문구,1294,369496.0,2.22,0.3502067681382207
동작구,1091,412520.0,2.31,0.2644720255987588
마포구,574,389649.0,2.23,0.14731206804072383
서대문구,962,327163.0,2.3,0.2940430305382944
서초구,1930,450310.0,2.57,0.4285936354955475
성동구,1062,311244.0,2.32,0.3412113968462043
성북구,1464,461260.0,2.39,0.3173914928673633
송파구,618,667483.0,2.54,0.09258662767441268
양천구,2034,479978.0,2.69,0.42376942276521007
영등포구,904,402985.0,2.22,0.22432596746777173
용산구,1624,244203.0,2.15,0.6650204952437112
은평구,1873,494388.0,2.43,0.3788522375138555
종로구,1002,162820.0,2.11,0.615403513081931
중구,671,133240.0,2.09,0.5036025217652357
중랑구,660,414503.0,2.31,0.15922683309891605
